Ticker,Company,Sector,Country,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy,Cluster
ABT,Abbott,Health Care,USA,0.667596,0.17518999,25.35666,14.616,4.43,24.98,3.03,13.59,8.36,3,1
ABBV,AbbVie,Health Care,USA,0.623997,0.23188,22.206667,11.653,7.5,27.84,1.12,16.77,9.95,3,1
ATVI,Activision Blizzard,Communication Services,USA,0.427624,0.22754,36.427227,24.337,2.13,18.94,0.15,12.48,6.31,4,1
AFL,Aflac,Financials,USA,0.935704,0.24154,9.491002,8.773,7.78,17.3,0.47,7.26,9.57,2,1
ALL,Allstate,Financials,USA,0.636205,-0.00413,44.040497,32.825,3.21,19.22,1.44,7.85,9.94,2,1
GOOGL,Alphabet Inc. (Class A),Communication Services,USA,1.069061,0.23746,17.752031,10.975,4.92,24.14,1.66,11.1,11.39,4,1
MO,Altria,Consumer Staples,USA,0.678409,0.22705999,18.07393,8.46,2.57,23.99,4.66,12.98,6.35,2,1
AMZN,Amazon,Consumer Discretionary,USA,1.194683,0.022550002,76.85715,18.899,1.12,30.28,5.59,14.8,9.89,3,1
AXP,American Express,Financials,USA,1.158004,0.15438,15.062186,14.737660130718929,9.97,18.38,0.05,8.37,9.95,2,1
AIG,American International Group,Financials,USA,1.200906,0.23158,3.8285885,2.686,16.86,25.32,1.87,9.67,13.79,2,1
AMP,Ameriprise Financial,Financials,USA,1.46875,0.1916,13.403421,6.681,23.97,22.61,2.57,7.22,12.82,2,1
AMGN,Amgen,Health Care,USA,0.659574,0.25959,22.086678,12.634,12.46,22.04,0.69,13.46,7.89,3,1
AAPL,Apple Inc.,Information Technology,USA,1.27241,0.2531,21.214401,15.88,6.11,16.68,0.65,6.86,9.18,3,1
ACGL,Arch Capital Group,Financials,USA,0.771538,0.14008,20.415335,36.923,3.13,21.2,1.47,7.31,12.42,2,1
AJG,Arthur J. Gallagher & Co.,Financials,USA,0.688936,0.13193,38.17495,19.939,5.03,21.75,0.13,9.18,12.44,2,1
AIZ,Assurant,Financials,USA,0.5,0.03361,20.673634,10.076,6.22,24.59,1.66,10.21,12.73,3,1
T,AT&T,Communication Services,USA,0.719827,0.129,7.9390244,5.888,2.46,22.07,2.27,13.15,6.66,3,1
BAC,Bank of America,Financials,USA,1.402162,0.29950002,10.88924,14.737660130718929,3.16,27.15,1.62,14.37,11.16,3,1
BAX,Baxter International,Health Care,USA,0.587024,-0.16118999,24.225,14.151,2.0,23.74,2.83,13.6,7.31,3,1
BDX,Becton Dickinson,Health Care,USA,0.575863,0.094280005,48.20446,18.072,5.38,26.74,3.7,15.56,7.48,3,1
WRB,Berkley,Financials,USA,0.647366,0.12052,16.045357,11.579,4.63,21.95,1.95,7.83,12.16,1,1
