Ticker,Company,Sector,Country,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy,Cluster
MMM,3M,Industrials,USA,0.986396,0.18913999,11.057591,11.635,11.46,33.61,12.33,13.56,7.72,3,3
ADM,ADM,Consumer Staples,USA,0.844109,0.04157,12.278571,10.672,7.0,36.4,18.23,13.16,5.01,3,3
AES,AES Corporation,Utilities,USA,0.972701,-0.02231,32.250165796058035,11.946,-0.223,34.15,16.48,11.2,6.47,2,3
ALB,Albemarle Corporation,Materials,USA,1.520404,0.27775,16.80364,13.17,13.19,28.8,15.53,5.54,7.73,2,3
AEE,Ameren,Utilities,USA,0.44611,0.14458999,22.135338,13.153,3.99,29.44,14.11,9.84,5.49,2,3
AAL,American Airlines Group,Industrials,USA,1.476107,-0.03557,32.250165796058035,17.726,-3.671,29.1,11.53,12.31,5.26,2,3
AEP,American Electric Power,Utilities,USA,0.422413,0.13081001,20.02697,12.291,4.82,25.81,12.84,7.54,5.43,2,3
AWK,American Water Works,Utilities,USA,0.526939,0.34575,21.828964,20.676,7.25,27.76,13.1,9.08,5.58,1,3
APA,APA Corporation,Energy,USA,3.627833,0.33226,4.0577106,3.08,10.57,38.81,21.98,8.88,7.96,2,3
ATO,Atmos Energy,Utilities,USA,0.570043,0.18431,20.239208,16.445,5.56,34.79,14.83,13.42,6.54,2,3
BA,Boeing,Industrials,USA,1.498922,-0.13748,32.250165796058035,-61.317,-8.285,34.68,7.08,19.72,7.87,4,3
CCL,Carnival,Consumer Discretionary,USA,2.137212,-0.50074,32.250165796058035,-25.773,-8.31,23.69,10.01,9.86,3.82,3,3
CE,Celanese,Materials,USA,1.259698,0.17198,7.6875415,6.469,15.17,29.27,15.09,7.71,6.47,2,3
CNP,CenterPoint Energy,Utilities,USA,0.869612,0.17671,21.269505,13.078,1.41,25.56,10.58,9.56,5.42,2,3
CF,CF Industries,Materials,USA,0.992816,0.28701,5.734375,3.082,14.72,30.03,16.82,7.73,5.49,1,3
CVX,Chevron Corporation,Energy,USA,1.189396,0.15048,10.043231,6.575,17.58,37.61,18.61,8.71,10.29,3,3
KO,The Coca-Cola Company,Consumer Staples,USA,0.592672,0.23438999,28.053099,22.297,2.26,22.56,7.88,9.72,4.95,3,3
CAG,Conagra Brands,Consumer Staples,USA,0.588362,0.04881,34.420166,15.038,1.19,32.76,11.7,16.29,4.77,2,3
COP,ConocoPhillips,Energy,USA,1.309382,0.23482999,8.49964,4.434,13.91,34.86,17.29,9.71,7.87,2,3
COST,Costco,Consumer Staples,USA,0.710129,0.02547,36.748096,20.726,13.14,24.19,7.26,11.21,5.72,3,3
CTRA,Coterra,Energy,USA,0.190014,0.42676,4.65643,3.028,5.21,46.16,23.49,14.01,8.66,2,3
DRI,Darden Restaurants,Consumer Discretionary,USA,1.20941,0.091029994,20.024523,15.884,7.34,28.06,8.43,15.0,4.63,2,3
DVN,Devon Energy,Energy,USA,2.432507,0.33644,6.431722,4.338,9.52,34.64,18.0,8.78,7.86,2,3
D,Dominion Energy,Utilities,USA,0.441227,0.14726,28.122726,13.531,2.2,25.38,11.11,8.55,5.73,2,3
DPZ,Domino's,Consumer Discretionary,USA,0.726892,0.10018,27.742508,21.682,12.35,31.02,7.73,16.68,6.62,2,3
DOV,Dover Corporation,Industrials,USA,1.331705,0.13934,17.36239,13.616,8.03,25.09,7.12,12.38,5.59,1,3
DTE,DTE Energy,Utilities,USA,0.600279,0.057940003,20.73611,15.969,5.76,25.41,13.42,6.96,5.03,2,3
DUK,Duke Energy,Utilities,USA,0.418207,0.14245,20.952192,13.151,5.02,27.63,14.49,8.57,4.56,2,3
DD,DuPont,Materials,USA,1.251482,0.10704,22.861198,10.865,3.17,28.95,13.44,8.12,7.39,3,3
EMN,Eastman Chemical Company,Materials,USA,1.48378,0.107329994,9.834811,6.839,9.02,24.36,11.98,5.42,6.96,2,3
ECL,Ecolab,Materials,USA,0.996512,0.08128,38.127552,18.813,3.92,24.09,9.48,8.44,6.17,2,3
